location,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Cloud Cover Total,Sunshine Duration,Shortwave Radiation
unit,°C,%,%,min,W/m²
level,2 m elevation corrected,2 m,sfc,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Sunshine Duration,Basel Shortwave Radiation
20220110T0800,1.7602454,97.463066,82.0,0.0,0.0
20220110T0900,1.7302454,97.32111,90.0,1.917021,9.0
20220110T1000,2.2502456,94.23408,88.0,3.8297868,49.0
20220110T1100,2.8002453,92.52085,66.0,17.872341,131.0
20220110T1200,3.2602453,91.8932,72.0,14.042552,178.0
20220110T1300,4.150245,84.20221,62.0,20.425533,221.0
20220110T1400,4.5902452,82.87953,53.0,26.170214,188.0
20220110T1500,4.8302455,80.969826,30.0,40.851067,173.0
20220110T1600,4.4402456,82.26345,32.0,39.57447,90.0
20220110T1700,3.1802454,87.17457,41.0,33.82979,26.0
20220110T1800,2.0502453,90.86629,24.0,0.4219858,0.0
20220110T1900,1.3602455,91.53658,20.0,0.0,0.0
20220110T2000,0.9102454,91.22982,13.0,0.0,0.0
20220110T2100,0.2502454,91.372574,23.0,0.0,0.0
20220110T2200,-0.04975462,91.54854,39.0,0.0,0.0
20220110T2300,-0.3097546,92.0692,47.0,0.0,0.0
20220111T0000,-0.51975465,90.76286,46.0,0.0,0.0
20220111T0100,-0.1297546,90.06312,8.0,0.0,0.0
20220111T0200,-0.3197546,90.44586,39.0,0.0,0.0
20220111T0300,-0.39975458,91.0439,35.0,0.0,0.0
20220111T0400,-0.2697546,91.46137,14.0,0.0,0.0
20220111T0500,-0.5797546,91.56948,21.0,0.0,0.0
20220111T0600,-0.29975462,91.4587,28.0,0.0,0.0
20220111T0700,0.6302454,89.14759,33.0,0.0,0.0
20220111T0800,0.9102454,89.1768,34.0,0.0,0.0
20220111T0900,1.1202455,88.806595,37.0,27.640957,13.0
20220111T1000,1.6902454,88.02613,49.0,28.723406,79.0
20220111T1100,1.9902455,87.35501,48.0,29.361702,137.0
20220111T1200,2.7702456,81.77639,76.0,11.489361,186.0
20220111T1300,3.4902453,77.75489,54.0,25.531916,247.0
20220111T1400,3.9802456,73.153076,39.0,35.106384,222.0
20220111T1500,4.3202453,70.89914,20.0,47.234047,208.0
20220111T1600,3.9102454,75.58963,9.0,54.255318,134.0
20220111T1700,1.5402454,83.352005,21.0,46.595745,33.0
20220111T1800,0.6902454,84.03543,20.0,1.4826242,0.0
20220111T1900,0.16024542,85.02969,18.0,0.0,0.0
20220111T2000,-0.48975456,84.94145,14.0,0.0,0.0
20220111T2100,-0.85975456,84.63624,8.0,0.0,0.0
20220111T2200,-1.0097545,83.79212,5.0,0.0,0.0
20220111T2300,-1.3297546,84.63414,2.0,0.0,0.0
20220112T0000,-1.7397546,84.768425,4.0,0.0,0.0
20220112T0100,-2.1897545,85.54449,5.0,0.0,0.0
20220112T0200,-2.5497546,85.95168,6.0,0.0,0.0
20220112T0300,-2.7997546,85.266045,6.0,0.0,0.0
20220112T0400,-2.9797544,85.56699,6.0,0.0,0.0
20220112T0500,-3.1897545,85.276924,5.0,0.0,0.0
20220112T0600,-3.1097546,84.18629,8.1,0.0,0.0
20220112T0700,-3.1197548,83.41466,19.800001,0.0,0.0
20220112T0800,-3.2597547,81.80736,26.7,0.0,0.0
20220112T0900,-1.9497546,79.37598,16.5,38.049202,16.0
20220112T1000,-0.7197546,76.114624,6.0,56.170216,101.0
20220112T1100,0.2702454,72.051125,6.0,56.170216,222.0
20220112T1200,1.2202454,68.33605,11.0,52.97872,302.0
20220112T1300,1.7502455,67.792946,20.0,47.234047,307.0
20220112T1400,2.4202454,66.88893,15.0,50.425533,307.0
20220112T1500,2.8202453,65.79163,9.0,54.255318,245.0
20220112T1600,2.4702454,71.182785,5.0,56.808514,145.0
20220112T1700,0.3002454,79.88505,6.0,56.170216,35.0
20220112T1800,-1.0097545,84.55171,4.0,3.06383,0.0
20220112T1900,-1.7997545,86.63756,3.0,0.0,0.0
20220112T2000,-2.2097545,87.97177,2.0,0.0,0.0
20220112T2100,-2.5197544,89.27682,1.0,0.0,0.0
