2theta/Degree,Intensity_GFO(Ga/Fe=1),Normalised_XRD_different ratio,Ga/Fe=1,Normalised_XRD_different ratio,Ga/Fe=0.5
26.61238,98.80565,26.61238,7.19E-04,26.61238,0.02981
26.63206,108.43703,26.63206,7.89E-04,26.63206,0.02745
26.65174,119.55376,26.65174,8.70E-04,26.65174,0.02874
26.67142,132.4901,26.67142,9.64E-04,26.67142,0.02955
26.6911,147.69494,26.6911,0.00108,26.6911,0.02531
26.71078,165.79078,26.71078,0.00121,26.71078,0.03161
26.73046,187.66381,26.73046,0.00137,26.73046,0.02658
26.75014,214.58875,26.75014,0.00156,26.75014,0.03239
26.76982,248.37571,26.76982,0.00181,26.76982,0.02508
26.7895,291.49749,26.7895,0.00212,26.7895,0.02575
26.80918,347.13192,26.80918,0.00253,26.80918,0.03264
26.82886,419.08736,26.82886,0.00305,26.82886,0.03048
26.84854,511.77894,26.84854,0.00373,26.84854,0.03461
26.86821,630.85966,26.86821,0.00459,26.86822,0.03239
26.88789,785.95015,26.88789,0.00572,26.8879,0.04023
26.90757,997.38959,26.90757,0.00726,26.90757,0.04853
26.92725,1296.1129,26.92725,0.00943,26.92725,0.05765
26.94693,1736.66324,26.94693,0.01264,26.94693,0.06625
26.96661,2412.2251,26.96661,0.01756,26.96661,0.06712
26.98629,3433.80339,26.98629,0.02499,26.98629,0.06191
27.00597,4722.16243,27.00597,0.03437,27.00597,0.05741
27.02565,5658.94004,27.02565,0.04119,27.02565,0.05556
27.04533,5685.38599,27.04533,0.04138,27.04533,0.04716
27.06501,5212.98761,27.06501,0.03794,27.06501,0.04272
27.08469,4685.65988,27.08469,0.03411,27.08469,0.0359
27.10437,3974.30678,27.10437,0.02893,27.10437,0.03295
27.12405,3060.50044,27.12405,0.02228,27.12405,0.03535
27.14373,2210.12431,27.14373,0.01609,27.14373,0.03034
27.16341,1571.69463,27.16341,0.01144,27.16341,0.03039
27.18309,1146.73806,27.18309,0.00835,27.18309,0.03136
27.20277,881.67425,27.20277,0.00642,27.20277,0.02929
27.22245,720.00821,27.22245,0.00524,27.22245,0.02861
27.24213,619.90557,27.24213,0.00451,27.24213,0.02769
27.26181,555.37986,27.26181,0.00404,27.26181,0.03149
27.28149,511.74493,27.28149,0.00372,27.28149,0.03273
27.30117,481.12083,27.30117,0.0035,27.30117,0.0318
27.32085,459.41596,27.32085,0.00334,27.32085,0.03161
27.34053,444.53151,27.34053,0.00324,27.34053,0.0328
27.36021,435.35767,27.36021,0.00317,27.36021,0.02466
27.37989,431.25467,27.37989,0.00314,27.37989,0.02978
27.39957,431.8152,27.39957,0.00314,27.39957,0.03427
27.41925,436.77424,27.41925,0.00318,27.41925,0.03053
27.43893,445.98502,27.43893,0.00325,27.43893,0.03422
27.45861,459.41871,27.45861,0.00334,27.45861,0.03016
27.47829,477.17058,27.47829,0.00347,27.47829,0.03084
27.49797,499.46849,27.49797,0.00364,27.49797,0.03712
